Product_ID,Label,P0,P1,P2,P3,Combo,Category,Short_name,Price_range,Range_width,Increment
40,Special Bone-in Chicken (original) + Cheese Chicken Tenders + Cajun Spicy Wings + Coke,0,43,48,57,1,Combos,Combo-2,"[43,57]",15,3
41,Special Bone-in Chicken (original) + Cheese Chicken Tenders + Cajun Spicy Wings + Bone-in Chicken with Sweet and Spicy Sauce + Coke + Coke Without Sugar,0,67,73,88,1,Combos,Combo-3,"[67,88]",22,3
42,Cheese Popcorn Chicken + Louisiana Assorted Seafood Rice + Coke,0,49,52,60,1,Combos,Combo-4,"[49,60]",12,3
43,Cajun Spicy Wings + Coconut Cajun Srispy Chicken Rice + Coke,0,45,48,55,1,Combos,Combo-5,"[45,55]",11,3
44,Cajun Spicy Wings + Cajun Grilled Chicken Burger + Coke,0,37,40,48,1,Combos,Combo-6,"[37,48]",12,3
45,Salsa-inspired Pineapple Cod Burger + Fried Prawns + Coke,0,43,47,54,1,Combos,Combo-7,"[43,54]",12,3
46,Salsa-inspired Pineapple Cod Burger + Fried Prawns + Cajun French fries (middle) + Coke,0,54,58,67,1,Combos,Combo-8,"[54,67]",14,3
47,Cheese Chicken Burger (original) + Cajun French Fries (middle) + Coke,0,38,41,48,1,Combos,Combo-9,"[38,48]",11,3
48,Cajun Spicy Wings + Cheese Chicken Burger (original) + Cajun French Fries (middle) + Coke,0,49,53,63,1,Combos,Combo-10,"[49,63]",15,3
49,Cheese Chicken Tenders + Cheese Popcorn Chicken + Cajun French Fries (big) + Strawberry Milkshake + Chocolate Milkshake,0,71,75,88,1,Combos,Combo-11,"[71,88]",18,3
50,Cheese Chicken Tenders + Fried Prawns + Cajun French Fries (big) + Mango Orange Milkshake + Grapefruit Longjing Milkshake,0,77,82,94,1,Combos,Combo-12,"[77,94]",18,3
51,Special Bone-in Chicken (original) + Special Bone-in Chicken (spicy) + Cheese Chicken Tenders + Cheese Popcorn Chicken + Cajun Spicy Wings + Crispy Fried Chicken + Rolled Chicken Tenders + Cajun Grilled Wings + Mango Orange Milkshake + Grapefruit Longjing Milkshake + Mango Orange Sparkling Drink + Coconut Banana Sparkling Drink + Coke + Orange Juice,0,164,177,209,1,Combos,Combo-13,"[164,209]",46,5
52,Cajun Grilled Chicken Burger + Tiny Chicken Burger + Cajun French Fries (middle) + Louisiana Egg Tart + Coke + Orange Juice,0,68,73,88,1,Combos,Combo-14,"[68,88]",21,3
53,Cheese Chicken Burger (original) + Cajun Grilled Chicken Burger + Tiny Chicken Burger + Fried Prawns + Cajun French Fries (big) + Louisiana Egg Tart + Strawberry Milkshake + Coke + Orange Juice,0,120,128,150,1,Combos,Combo-15,"[120,150]",31,5
